2021-05-27 15:41:20|admin|0|a|TEXT
2021-05-29 00:15:46|admin|0|123|TEXT
2021-05-29 00:19:06|admin|0|111|TEXT
2021-05-29 00:33:51|admin|0|1|TEXT|G123456
2021-05-29 00:33:55|admin|0|1|TEXT|G123456
2021-05-29 00:33:57|admin|0|1|TEXT|G123456
2021-05-29 00:38:25|admin|0|test G|TEXT|G123456
2021-05-29 00:38:25|admin|0|test G|TEXT|G123456
2021-05-29 00:39:49|admin|0|123|TEXT|G123456
2021-05-29 00:39:49|admin|0|123|TEXT|G123456
2021-05-29 00:39:52|secondPerson|0|321|TEXT|G123456
2021-05-29 00:39:53|secondPerson|0|321|TEXT|G123456
2021-05-29 00:44:43|admin|0|qwerttt|TEXT|G123456
